_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,1001.3,7560.7,611.66,337.47,0
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,6078.7,704.89,2595.7,82.199,0
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,6356.7,2200.7,668.63,62.852,0
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,0,6632.2,3123.8,44.043,0
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,240.2,8328.8,728.46,301.49,0
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,5228.2,1490,2702.4,58.142,0
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,5499.9,3007,747.06,55.105,0
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,5766.7,1473.2,2105.8,61.713,0
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,5937.9,2485.6,773.05,99.759,0
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,4535,2655.8,2224.2,47.009,0
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,4700.7,3689.4,860.48,103.31,0
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,3593.8,3550.8,2332.7,25.394,0
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,3752.8,4602,948.46,93.607,0
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,4761.5,3971.1,526.08,52.186,0
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,4684.9,3567.3,1042.8,63.386,0
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,4592.2,3065.7,1685.7,73.174,0
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,4535.5,2752.1,2088.6,76.766,0
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,973.12,7571.6,757.2,215.13,0
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,6325.4,2216.4,667.76,29.132,0
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,806.71,6621,1967.2,222.89,0
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,6205.4,1298.1,1834.3,59.162,0
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,4645.8,2925.4,1875.4,14.49,0
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,4830.5,4184.5,204.51,116.99,0
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,4380.6,1667,3487.2,70.285,0
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,4687.6,3457.9,1142.7,117,0
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,2577.3,6257.8,472.51,133.79,0
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,6041.3,2799.4,397.61,23.839,0
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,2341.1,4917.9,2185.3,149.16,0
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,5791.5,1492.8,2071.4,62.233,0
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,937.88,6967.4,1648.1,35.088,0
