_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,5481.6,3867.8
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,6544.2,2726.7
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,7031.7,2201.8
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,2420.3,7049.3
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,5929.4,3417.3
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,4676,4600.1
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,7822.5,1377.7
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,2413.8,7075.9
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,4837.6,4556.3
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,5762.2,3461.7
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,7793,1384.1
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,4062.9,5256.2
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,5407.4,3879.8
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,6510.4,2744.5
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,7021.5,2215.9
