_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00174,0.0003965,0.0012,0.00236,4.3884,0.50847,1.45,0.16801,0.73729,0.33042,2.4902
0.00174,0.0003965,0.00625,0.0008,4.3884,7.8125,0.2784,0.49562,2.175,0.06344,2.4579
0.00174,0.0003965,0.00625,0.00236,4.3884,2.6483,0.2784,0.16801,0.73729,0.06344,1.4244
0.00257,0.0003965,0.0012,0.0008,6.4817,1.5,2.1417,0.49562,3.2125,0.33042,3.8715
0.00257,0.0003965,0.0012,0.00236,6.4817,0.50847,2.1417,0.16801,1.089,0.33042,2.8456
0.00257,0.0003965,0.00625,0.0008,6.4817,7.8125,0.4112,0.49562,3.2125,0.06344,2.6613
0.00257,0.0003965,0.00625,0.00236,6.4817,2.6483,0.4112,0.16801,1.089,0.06344,1.6663
0.0034,0.0003965,0.0012,0.0008,8.575,1.5,2.8333,0.49562,4.25,0.33042,4.0984
0.0034,0.0003965,0.0012,0.00236,8.575,0.50847,2.8333,0.16801,1.4407,0.33042,3.0973
0.0034,0.0003965,0.00625,0.0008,8.575,7.8125,0.544,0.49562,4.25,0.06344,2.8468
0.0034,0.0003965,0.00625,0.00236,8.575,2.6483,0.544,0.16801,1.4407,0.06344,1.8816
0.00174,0.0003965,0.003725,0.0010285,4.3884,3.6219,0.46711,0.38553,1.6919,0.10644,2.4525
0.00174,0.0003965,0.003725,0.0021315,4.3884,1.7476,0.46711,0.18602,0.81631,0.10644,1.7915
0.00257,0.0003965,0.003725,0.0010285,6.4817,3.6219,0.68993,0.38553,2.4989,0.10644,2.7364
0.00257,0.0003965,0.003725,0.0021315,6.4817,1.7476,0.68993,0.18602,1.2057,0.10644,2.0992
0.0034,0.0003965,0.003725,0.0010285,8.575,3.6219,0.91275,0.38553,3.3059,0.10644,2.973
0.0034,0.0003965,0.003725,0.0021315,8.575,1.7476,0.91275,0.18602,1.5951,0.10644,2.3526
0.00257,0.00020849,0.003725,0.00158,12.327,2.3576,0.68993,0.13196,1.6266,0.055971,1.9664
0.00257,0.00031862,0.003725,0.00158,8.0659,2.3576,0.68993,0.20166,1.6266,0.085537,2.1801
0.00257,0.00047438,0.003725,0.00158,5.4176,2.3576,0.68993,0.30024,1.6266,0.12735,2.4755
0.00257,0.00058451,0.003725,0.00158,4.3968,2.3576,0.68993,0.36994,1.6266,0.15692,2.6725
0.00257,0.0002526,0.0012,0.00158,10.174,0.75949,2.1417,0.15988,1.6266,0.2105,2.9335
0.00257,0.0002526,0.00625,0.00158,10.174,3.9557,0.4112,0.15988,1.6266,0.040417,1.6623
0.00257,0.0005404,0.0012,0.00158,4.7558,0.75949,2.1417,0.34202,1.6266,0.45033,3.4051
0.00257,0.0005404,0.00625,0.00158,4.7558,3.9557,0.4112,0.34202,1.6266,0.086463,2.2466
0.00257,0.0002526,0.003725,0.0008,10.174,4.6562,0.68993,0.31575,3.2125,0.067813,2.5633
0.00257,0.0002526,0.003725,0.00236,10.174,1.5784,0.68993,0.10704,1.089,0.067813,1.8361
0.00257,0.0005404,0.003725,0.0008,4.7558,4.6562,0.68993,0.6755,3.2125,0.14507,3.3988
0.00257,0.0005404,0.003725,0.00236,4.7558,1.5784,0.68993,0.22898,1.089,0.14507,2.2244
0.00257,0.000193,0.0019396,0.00158,13.316,1.2276,1.325,0.12215,1.6266,0.099507,2.4743
