_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00257,0.0006,0.003725,0.0010285,4.2833,3.6219,0.68993,0.5834,2.4989,0.16107,1.2325
0.00257,0.0006,0.003725,0.0021315,4.2833,1.7476,0.68993,0.28149,1.2057,0.16107,0.85277
0.00257,0.0003965,0.0013922,0.00158,6.4817,0.88114,1.846,0.25095,1.6266,0.2848,0.97772
0.00257,0.0003965,0.0027587,0.00158,6.4817,1.746,0.93159,0.25095,1.6266,0.14373,0.87831
0.00257,0.0003965,0.0046913,0.00158,6.4817,2.9692,0.54783,0.25095,1.6266,0.084519,0.78489
0.00257,0.0003965,0.0060578,0.00158,6.4817,3.834,0.42425,0.25095,1.6266,0.065453,0.73727
0.00257,0.0003965,0.0019396,0.0008,6.4817,2.4244,1.325,0.49562,3.2125,0.20443,1.2871
0.00257,0.0003965,0.0019396,0.00236,6.4817,0.82185,1.325,0.16801,1.089,0.20443,0.74984
0.00257,0.0003965,0.0055104,0.0008,6.4817,6.8881,0.46639,0.49562,3.2125,0.071954,1.0373
0.00257,0.0003965,0.0055104,0.00236,6.4817,2.3349,0.46639,0.16801,1.089,0.071954,0.61008
0.00257,0.0003965,0.0012,0.0010285,6.4817,1.1668,2.1417,0.38553,2.4989,0.33042,1.2312
0.00257,0.0003965,0.0012,0.0021315,6.4817,0.56297,2.1417,0.18602,1.2057,0.33042,0.84504
0.00257,0.0003965,0.00625,0.0010285,6.4817,6.0771,0.4112,0.38553,2.4989,0.06344,0.89994
0.00257,0.0003965,0.00625,0.0021315,6.4817,2.9321,0.4112,0.18602,1.2057,0.06344,0.62495
0.00257,0.0003965,0.003725,0.00085937,6.4817,4.3346,0.68993,0.46138,2.9905,0.10644,1.1031
0.00257,0.0003965,0.003725,0.0012815,6.4817,2.9067,0.68993,0.3094,2.0055,0.10644,0.91786
0.00257,0.0003965,0.003725,0.0018785,6.4817,1.983,0.68993,0.21107,1.3681,0.10644,0.75528
0.00257,0.0003965,0.003725,0.0023006,6.4817,1.6191,0.68993,0.17234,1.1171,0.10644,0.67653
