x,y,z
77325.796875,-46551.199219,34015.000000
49362.000000,7276.649902,-5965.640137
48381.699219,6737.899902,-5317.879883
48959.699219,6656.790039,-4230.379883
49042.000000,8397.040039,-5189.750000
89175.898438,-42092.398438,26215.099609
90304.601562,-43372.898438,26189.199219
89594.601562,-43094.800781,27343.500000
88773.000000,-43395.601562,26245.500000
79354.101562,14330.599609,38852.601562
79613.796875,15070.099609,37924.699219
77871.000000,14062.700195,38053.398438
78324.398438,15248.900391,38622.898438
67469.703125,-40754.699219,-2841.330078
68253.703125,-41316.800781,-3903.229980
68533.796875,-41271.898438,-2026.640015
67821.601562,-42294.800781,-3056.040039
53234.101562,-41366.199219,32837.800781
52918.101562,-39992.800781,31386.099609
52552.500000,-40044.500000,32976.101562
54194.300781,-40211.300781,32223.300781
60942.699219,-40570.898438,37354.101562
59332.199219,-40729.300781,38312.500000
60892.199219,-41071.199219,39005.601562
60248.500000,-39655.601562,38145.601562
60770.300781,-16596.599609,-17182.599609
61501.898438,-16917.900391,-16156.700195
61621.000000,-17448.300781,-17496.400391
62104.898438,-16444.699219,-17515.500000
83779.203125,-33300.101562,44851.000000
83757.101562,-31752.900391,44764.000000
83935.000000,-32681.599609,43371.699219
82594.203125,-32491.500000,44057.800781
103513.000000,-13118.700195,-5463.729980
104595.000000,-12592.700195,-6164.339844
104457.000000,-14571.099609,-5951.259766
103507.000000,-13894.799805,-6642.240234
80632.296875,3299.800049,8724.110352
81262.898438,3547.439941,9706.610352
81602.000000,4899.310059,8683.000000
80064.398438,4253.649902,9583.129883
102418.000000,-16526.099609,29403.300781
103575.000000,-16099.700195,28269.900391
103371.000000,-15725.299805,29966.900391
103755.000000,-17022.900391,29514.599609
113897.000000,-39095.800781,7118.109863
113874.000000,-40720.699219,8180.040039
113044.000000,-39600.398438,8325.540039
112886.000000,-40310.398438,7004.450195
61388.199219,-46959.601562,21298.699219
61016.199219,-45255.601562,21074.699219
60338.199219,-46376.898438,20177.099609
59654.699219,-46346.500000,21491.800781
69264.101562,-40307.800781,-10361.599609
68737.101562,-39995.300781,-9055.469727
68744.500000,-41370.601562,-8586.790039
69864.703125,-41563.699219,-9454.030273
70550.796875,17382.599609,28832.099609
71158.703125,16415.599609,27425.199219
70371.398438,18357.599609,27631.000000
71722.500000,17452.900391,27914.199219
53887.500000,-25427.900391,47999.199219
54704.800781,-26668.199219,48424.500000
53723.898438,-37290.699219,32533.800781
55240.800781,-37612.500000,33170.199219
53714.199219,-36581.800781,33739.601562
53835.101562,-37933.601562,34061.398438
43758.398438,17923.199219,10500.299805
43022.898438,16260.000000,10470.000000
42338.601562,17907.800781,10568.400391
43067.199219,16791.900391,9257.089844
87444.296875,-56548.800781,11328.099609
88077.398438,-54918.398438,12176.799805
88593.703125,-56266.500000,11541.299805
88029.898438,-54834.898438,10673.000000
109842.000000,-32314.699219,-6836.959961
111170.000000,-31236.000000,-6422.189941
110300.000000,-32969.398438,-5636.319824
111799.000000,-33047.601562,-6083.930176
61417.000000,-34178.300781,3214.340088
62442.601562,-34781.000000,2689.800049
60569.398438,-35678.898438,3568.209961
61109.601562,-36019.500000,2353.399902
99760.703125,-50135.300781,1836.310059
98471.703125,-51351.500000,731.036011
98392.703125,-50010.500000,1619.579956
99042.898438,-49957.199219,392.838013
82707.601562,8209.889648,-2047.910034
81790.296875,9217.209961,-3266.570068
81385.601562,8087.830078,-2371.760010
82770.703125,9413.639648,-2783.429932
47590.699219,-34583.101562,15199.799805
48216.101562,-33952.398438,13714.000000
49042.699219,-34536.398438,15123.000000
48590.898438,-35305.500000,13976.500000
54160.699219,-22765.099609,47669.199219
54139.601562,-20818.800781,47877.000000
55114.398438,-21923.699219,47314.699219
54048.101562,-21242.400391,46528.699219
110277.000000,-25322.000000,18343.699219
109939.000000,-26904.699219,18580.400391
110901.000000,-26092.599609,17316.400391
111541.000000,-26187.400391,18627.500000
45151.398438,-23089.199219,4383.040039
45427.398438,-24044.800781,2965.540039
46354.699219,-23674.199219,3977.060059
45374.601562,-23898.599609,5096.439941
48060.101562,9592.309570,-858.721008
47278.699219,8894.610352,323.968994
46430.101562,10158.500000,-333.865997
46822.898438,8887.080078,-1110.680054
110196.000000,-32462.300781,9580.009766
109919.000000,-30904.099609,9177.849609
108783.000000,-31729.099609,9694.120117
109839.000000,-31425.800781,10688.400391
94606.000000,-41544.000000,-20458.099609
95335.398438,-40598.898438,-20961.500000
94450.601562,-40372.101562,-19822.599609
95935.296875,-41616.898438,-20423.800781
86446.203125,-27789.500000,36991.199219
86776.296875,-25683.800781,37384.898438
87356.601562,-26964.900391,37691.800781
87582.500000,-27087.199219,36239.300781
65427.199219,16841.699219,21523.800781
65018.199219,16341.900391,20321.699219
66146.000000,17323.199219,20252.400391
66764.898438,16371.400391,21487.199219
60597.300781,-24631.699219,-10969.200195
61241.101562,-24832.199219,-9265.259766
59678.500000,-25123.800781,-9828.969727
61249.898438,-25582.300781,-10541.000000
55885.000000,-40261.601562,31830.800781
56453.398438,-40695.000000,33063.199219
55981.601562,-41826.800781,31715.900391
56959.000000,-40871.199219,31065.500000
65770.203125,10467.500000,34940.800781
66397.203125,11514.400391,35178.199219
67111.203125,10421.799805,34369.601562
65874.203125,10877.599609,33671.699219
108675.000000,-44299.500000,-15643.599609
108222.000000,-43086.800781,-16407.599609
109518.000000,-43023.699219,-15459.599609
109565.000000,-43385.398438,-16887.199219
68288.398438,-37174.699219,41585.300781
68824.500000,-36467.300781,40527.601562
68938.703125,-38021.699219,40600.398438
67531.703125,-37453.101562,40056.699219
45595.601562,19354.699219,22377.199219
45208.601562,19739.199219,23850.599609
44033.398438,20431.400391,23062.900391
44160.800781,18906.800781,23232.800781
77885.398438,-55102.300781,6302.060059
76652.703125,-54531.800781,5424.740234
77633.500000,-56142.101562,4961.500000
76871.796875,-56012.000000,6101.799805
78030.101562,18515.699219,25881.599609
78543.500000,19793.800781,25915.800781
79024.101562,18956.199219,27095.099609
79709.796875,18554.099609,25979.500000
55381.199219,1937.699951,38337.000000
54625.101562,-30952.300781,-2275.840088
53722.699219,-32074.000000,-1506.020020
54666.500000,-31136.400391,-884.622009
53351.500000,-30663.400391,-1173.209961
63872.898438,-35751.000000,49820.300781
64544.601562,-35898.500000,51022.199219
62977.398438,-35075.398438,50440.000000
63263.500000,-36429.800781,51452.398438
114479.000000,-33388.199219,-611.210999
114156.000000,-33038.500000,-1904.290039
115113.000000,-31837.400391,-1338.239990
115431.000000,-33099.500000,-2111.520020
97204.296875,-42111.898438,26258.400391
96351.796875,-40851.800781,26617.400391
95758.601562,-41936.398438,25794.400391
96102.703125,-41909.898438,27668.300781
48489.601562,4671.700195,-8663.580078
48730.500000,4372.350098,-10040.200195
47182.601562,4423.129883,-8911.900391
47372.101562,4981.609863,-10055.099609
