CC,L2orm,t1,t2,t3,p1,p2,p3,z1,z2,z3,thr1,thr2,thr3,cv
0.1786848044,164.237014811,1.73,12.83,12.62,0.28,0.89,0.2,0.65,0.58,0.44,8.47,2.49,1.87,2.16
-0.0614629967,235.990354032,9.13,17.14,5.52,0.45,0.57,0.55,0.74,0.29,0.42,2.95,7.02,7.33,1.59
0.1603765876,152.85196578,19.05,16.85,18.76,0.52,0.44,0.61,0.37,0.71,0.29,5.61,5.85,3.62,3.8
0.3867780853,301.862707322,12.09,19.24,7.4,0.84,0.83,0.76,0.25,0.73,0.78,6.56,5.58,5.46,2.64
0.0667976238,182.089182049,4.78,10.57,7.22,0.87,0.6,0.57,0.3,0.76,0.8,1.8,8.02,5.51,2.75
-0.3309469281,244.700877956,0.82,6.4,18.48,0.59,0.55,0.86,0.53,0.33,0.78,9.9,6.71,1.84,3.56
-0.3614332636,310.825572758,1.55,15.64,1.73,0.58,0.81,0.64,0.44,0.4,0.89,8.37,4.74,1.4,2.77
-0.0977264257,201.327122407,19.82,9.95,18.37,0.47,0.29,0.79,0.54,0.37,0.31,7.32,1.46,9.46,3.52
0.0686199233,155.760565999,14.03,4.62,2.49,0.76,0.19,0.15,0.59,0.63,0.43,4.43,7.15,9.14,3.98
0.1787019957,163.99313914,0.96,10.36,2.72,0.49,0.24,0.04,0.43,0.61,0.61,1.03,5.07,4.09,3.63
-0.2850199821,279.524807982,10.72,13.24,14.61,0.32,0.07,0.06,0.69,0.51,0.69,8.42,6.86,6.91,1.12
-0.0073021922,232.874849984,4.58,4.32,5.69,0.49,0.68,0.15,0.7,0.82,0.45,2.75,8.36,1.93,2.22
-0.1456809183,157.319001286,9.26,14.81,19.47,0.16,0.93,0.99,0.8,0.74,0.24,7.9,7.67,5.09,2.5
0.0410338017,304.487571441,11.46,17.47,7,0.3,0.35,0.42,0.41,0.3,0.36,4.11,7.86,2.57,1.92
0.2382124844,150.59304568,12.01,9.03,5.87,0.16,0.73,0.74,0.89,0.22,0.65,5.35,9.36,7.09,3.72
-0.0809227055,206.822976324,0.11,3.1,0.29,0.99,0.91,0.28,0.66,0.52,0.87,7.74,6.92,8.62,3.97
-0.1982206927,206.097124323,16.96,0.77,7.5,0.08,0.66,0.2,0.32,0.82,0.93,1.27,9.34,8.92,3.86
0.0289000583,186.361512454,9.67,11.05,8.72,0.89,0.43,0.19,0.89,0.85,0.72,7.16,8.62,9.55,3.16
0.0468041863,180.686531627,15.81,1.16,9.41,0.42,0.32,0.53,0.94,0.26,0.5,3.11,2.11,7.87,2.43
-0.0360126599,194.553187774,15.31,5.38,13.24,0.31,0.08,0.43,0.67,0.74,0.29,5.26,5.96,4.54,1.27
0.393001078,160.852863821,11.05,10.5,0.89,0.99,0.15,0.46,0.37,0.97,0.27,3.97,7.93,1.57,1.47
-0.2236703591,340.289039533,19.25,19.8,14.4,0.41,0.53,0.72,0.31,0.66,0.21,2.85,9.2,2.82,2.89
0.2324049387,172.100523548,18.27,7.99,8.78,0.4,0.4,0.98,0.65,0.56,0.28,2.04,8.49,4.44,2
-0.2018942897,196.365019058,0.01,10.76,15.81,0.9,0.29,0.21,0.39,0.93,0.2,4.26,7.73,8.72,1.49
-0.1036707724,150.432109906,11.52,17.71,9.75,0.01,0.25,0.93,0.72,0.53,0.7,1.72,9.13,2.73,2.55
-0.0472309644,151.343861101,5.81,2.71,16.49,0.13,0.89,0.01,0.76,0.6,0.39,3.68,8.51,5.59,1.35
0.3700388984,208.058675069,6.17,9.11,17.69,0.74,0.86,0.82,0.46,0.92,0.42,6.67,6.04,3.19,3
0.113085945,188.840642259,1.36,6.05,18.52,0.34,0.58,0.35,0.24,0.54,0.73,1.61,1.66,7.92,2.32
0.5016340892,204.217956368,10.47,15.09,0.49,0.24,0.98,0.85,0.35,0.45,0.98,5.93,8.22,6.81,2.26
-0.0156003809,141.007877607,11.04,2.72,14.27,0.84,0.85,0.34,0.94,0.71,0.81,4.4,7.73,6.95,1.63
-0.3736809176,319.330988147,13.11,0.11,18.68,0.21,0.35,0.33,0.46,1,0.79,4.73,6.73,6.25,1.56
-0.1783201448,272.901764032,11.9,10.25,0.2,0.93,0.88,0.14,0.73,0.76,0.88,3.84,2.33,6.53,1.69
0.4368395846,128.463892262,7.99,7.51,19.05,0.27,0.64,0.09,0.9,0.36,0.9,6.13,8.89,7.46,3.76
0.0355510063,170.965352757,0.74,6.49,0.83,0.36,0.18,0.91,0.67,0.99,0.64,6.25,3.1,6.88,1.03
-0.3867304411,191.438146559,7.3,14.24,2.38,0.74,0.61,0.7,0.58,0.39,0.31,7.8,5.64,5.95,3.84
0.0877322848,168.614014204,19.49,19.1,10.98,0.65,0.12,0.15,0.36,0.37,0.5,2.66,2.48,4.27,3.47
-0.2548545817,248.325201551,8.86,12.14,5.8,0.75,0.21,0.29,0.29,0.81,0.55,8.74,7.41,7.98,1.71
0.2355765318,171.568507806,9.5,9.85,6.95,0.03,0.43,0.28,0.56,0.23,0.57,6.21,7.25,4.66,3.77
-0.0037430943,153.704271175,12.41,13.53,1.61,0.82,0.06,0.92,0.54,0.23,0.52,9.87,7.35,4.13,3.7
0.2250553784,148.91088206,11.76,11.63,8.53,0.2,0.2,0.88,0.31,0.2,0.67,1.5,1.02,6.75,3.6
-0.2261861437,286.416866407,16.77,18.98,10,0.12,0.56,0.69,0.74,0.8,0.69,9.66,3.69,9.85,2.42
-0.0744053129,202.537449456,0.47,18.31,14.21,0.26,0.38,0.18,0.75,0.7,0.38,1.3,8.3,3.89,3.41
0.0244219548,175.084738895,15.96,15.8,4.52,0.77,0.14,0.21,0.79,0.64,0.61,7.37,5.1,8.51,1.98
0.3151410292,118.56084285,2.06,13.41,8.09,0.14,0.92,0.08,0.44,0.55,0.26,9.3,3.47,9.94,3.78
-0.2145843569,185.885503236,5.73,5.76,11.88,0,0.65,0.59,0.45,0.28,0.84,6.89,9.87,3.11,3.2
-0.2496754987,346.344917225,8.17,0.59,10.09,0.89,0.38,0.45,0.43,0.44,0.72,7.09,2,7.15,1.92
-0.2560170302,164.903616618,3.89,5.93,11.8,0.88,0.92,0.17,0.61,0.27,1,3.05,8,8.85,3.31
0.2614457638,152.749446487,6.51,14.11,16.04,0.54,0.55,0.9,0.8,0.28,0.41,1.95,1.75,5.37,3.54
-0.1480036976,211.947780391,3.73,1.12,1.09,0.69,0.24,0.87,0.38,0.93,0.47,7.25,3.26,3.99,2.12
0.0002587706,146.222084883,5.37,17.58,17.56,0.05,0.7,0.95,0.85,0.72,0.43,2.34,3.05,1.94,1.02
0.254860586,280.275481075,10.32,11.15,3.05,0.98,0.83,0.55,0.63,0.34,0.53,8.71,4.15,9.99,1.55
-0.2097271644,335.735849611,2.23,18.84,10.48,0.78,0.66,0.25,0.77,0.57,0.76,6.98,4.05,9.14,2.81
0.3946748334,259.633070626,8.3,4.89,18.32,0.62,0.8,0.84,0.85,0.6,0.86,1.05,5.66,4.79,3.89
-0.0156214162,192.113335232,7.6,16.28,17.83,0.13,0.92,0.06,0.26,0.51,0.39,4.84,5.73,4.28,1.48
0.3503074334,251.831628628,14.2,5.85,10.04,0.48,0.75,0.8,0.55,0.53,0.73,3.41,4.52,2.14,2.57
-0.1303089578,261.429791611,6.09,0.68,17.05,0.7,0.98,0.52,0.99,0.5,0.32,8.9,3.52,2.66,3.57
-0.1757749226,221.100602502,14.9,18.77,8.45,0.38,0.5,0.34,0.64,0.58,0.72,5.85,2.79,5.35,1.19
-0.0879282489,273.905845713,12.6,18.2,2.02,0.56,0.47,0.4,0.6,0.79,0.92,7.93,3.22,7.63,2.24
-0.2036365749,221.114004477,1.07,3.69,19.41,0.88,0.12,0.04,0.42,0.61,0.54,1.35,3.99,6.47,1.51
