_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,0.086738,0.058173,0.10214,0,0
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,0.075027,0.11243,0.076553,0,0
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,0.090565,0.098199,0.0528,0,0
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,0.075923,0.066732,0.1185,0,0
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,0.091083,0.058611,0.090549,0,0
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,0.078784,0.12811,0.051187,0,0
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,0.089009,0.11631,0.037719,0,0
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,0.080126,0.059989,0.11459,0,0
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,0.089949,0.054874,0.096414,0,0
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,0.076545,0.082951,0.10049,0,0
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,0.082998,0.079368,0.08875,0,0
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,0.08809,0.075675,0.080181,0,0
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,0.090357,0.073608,0.076724,0,0
