_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,0.083041,0.092735
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,0.08622,0.08235
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,0.079404,0.10032
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,0.086003,0.083709
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,0.084131,0.083857
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,0.090058,0.070565
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,0.077878,0.10448
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,0.0845,0.087853
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,0.0836,0.087588
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,0.089593,0.074089
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,0.077546,0.10771
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,0.084164,0.091167
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,0.0825,0.090388
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,0.088544,0.07674
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,0.084664,0.084977
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,0.08863,0.07569
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,0.083385,0.08906
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,0.087405,0.079605
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,0.082377,0.092291
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,0.086433,0.082735
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,0.088554,0.077184
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,0.086928,0.08081
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,0.084922,0.085316
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,0.083673,0.088137
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,0.08453,0.089006
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,0.089253,0.073747
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,0.080727,0.097401
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,0.08609,0.082271
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,0.084946,0.086796
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,0.089773,0.075277
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,0.079716,0.098101
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,0.086748,0.081739
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,0.087092,0.08303
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,0.090172,0.073046
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,0.081773,0.094992
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,0.084914,0.084813
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,0.082638,0.095232
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,0.087227,0.083112
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,0.087648,0.078143
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,0.091568,0.069106
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,0.075144,0.11152
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,0.082893,0.092371
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,0.080094,0.094126
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,0.087243,0.0781
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,0.087023,0.08063
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,0.089644,0.074219
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,0.080345,0.095353
0.00257,0.0006,0.003725,0.0021315,0.056316,2.3964,0.085746,0.084372
0.00257,0.0003965,0.0013922,0.00158,0.12913,3.0732,0.083334,0.092538
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,0.085322,0.086284
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,0.086927,0.081079
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,0.087652,0.078675
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,0.079833,0.10013
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,0.086249,0.084409
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,0.083029,0.088768
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,0.089056,0.075059
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,0.079989,0.10035
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,0.084333,0.089376
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,0.084901,0.08374
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,0.08881,0.074919
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,0.082087,0.091735
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,0.084667,0.085884
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,0.086734,0.081014
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,0.087672,0.07873
