x,y,z
-44.586,-16.154,247.63
-44.207,-17.507,248.53
-45.398,-13.607,248.72
-45.932,-15.898,248.58
-44.107,-14.02,250.65
-45.553,-17.251,249.48
-43.729,-15.373,251.55
-46.744,-13.351,249.67
-47.657,-14.29,248.64
-48.035,-12.937,247.74
-47.123,-11.998,248.77
-46.211,-11.059,249.81
-45.832,-12.412,250.7
-44.052,-13.863,247.76
-43.14,-12.924,248.8
-43.519,-11.571,247.9
-44.431,-12.51,246.87
-45.343,-13.449,245.83
-44.965,-14.802,246.73
-46.156,-10.902,246.92
-46.689,-13.193,246.79
-44.865,-11.315,248.85
-46.311,-14.546,247.68
-44.486,-12.668,249.75
-51.106,-11.073,248.75
-51.5,-12.178,248.49
-51.485,-9.7205,247.85
-52.068,-11.364,248.71
-51.58,-11.561,248.21
-52.181,-10.474,248.15
-51.838,-10.084,247.45
-51.731,-10.777,247.79
-52.48,-9.5313,248.55
-52.297,-9.5144,247.55
-52.237,-10.573,249.29
-52.204,-10.864,249.52
-52.209,-11.044,249.69
-51.864,-8.368,246.95
-51.943,-9.5738,247.16
-52.277,-7.019,246.03
-52.387,-8.5262,246.93
-52.111,-8.6229,246.67
-52.667,-8.2153,247.52
-52.668,-8.6175,247.89
-47.502,-10.646,247.88
-48.414,-11.585,246.84
-48.793,-10.232,245.94
-47.881,-9.2933,246.98
-46.968,-8.3542,248.01
-46.59,-9.7068,248.91
-44.81,-11.158,245.97
-43.898,-10.219,247
-44.276,-8.8661,246.1
-45.189,-9.8051,245.07
-46.101,-10.744,244.04
-45.722,-12.097,244.94
-46.913,-8.1967,245.13
-47.447,-10.488,244.99
-45.622,-8.6101,247.06
-47.068,-11.841,245.89
-45.244,-9.9627,247.96
-48.259,-7.9408,246.08
-49.172,-8.8798,245.05
-49.55,-7.5273,244.15
-48.638,-6.5882,245.18
-47.726,-5.6492,246.21
-47.347,-7.0017,247.11
-44.221,-8.7085,243.22
-44.655,-7.5135,245.21
-45.034,-6.161,244.31
-46.858,-8.0391,242.24
-46.48,-9.3916,243.14
-47.671,-5.4916,243.33
-48.204,-7.7832,243.2
-47.826,-9.1357,244.09
-45.089,-6.3186,247.19
-46.435,-6.0626,248.15
-46.813,-4.7101,247.25
-45.901,-3.7711,248.28
-45.522,-5.1236,249.18
-45.144,-6.4761,250.08
-46.056,-7.4152,249.04
-42.452,-6.9879,248.17
-43.743,-6.5745,246.24
-42.83,-5.6354,247.27
-43.209,-4.2829,246.38
-44.121,-5.2219,245.34
-43.364,-7.927,247.14
-44.71,-7.6711,248.09
-43.798,-6.732,249.12
-45.846,-3.6135,245.4
-43.264,-4.4404,249.26
-44.61,-4.1845,250.21
-44.989,-2.832,249.32
-44.077,-1.8929,250.35
-43.698,-3.2455,251.25
-43.319,-4.598,252.14
-44.231,-5.537,251.11
-40.627,-5.1098,250.24
-41.918,-4.6964,248.31
-41.006,-3.7573,249.34
-41.385,-2.4048,248.44
-42.297,-3.3438,247.41
-41.539,-6.0489,249.2
-42.885,-5.793,250.16
-41.977,-4.8556,251.19
-44.022,-1.7354,247.46
-42.731,-2.1489,249.4
-42.352,-3.5014,250.29
-36.984,-25.451,252.09
-38.864,-27.486,252.91
-38.33,-25.195,253.04
-39.243,-26.134,252.01
-39.622,-24.781,251.11
-38.709,-23.842,252.14
-37.797,-22.903,253.18
-37.418,-24.256,254.07
-37.039,-25.608,254.97
-37.952,-26.547,253.94
-34.347,-26.12,253.07
-34.292,-25.962,250.18
-34.726,-24.768,252.17
-35.105,-23.415,251.27
-36.93,-25.293,249.2
-36.551,-26.646,250.1
-36.172,-27.998,251
-35.26,-27.059,252.03
-36.606,-26.803,252.99
-35.693,-25.864,254.02
-37.518,-27.742,251.95
-37.742,-22.746,250.29
-38.276,-25.037,250.16
-36.451,-23.159,252.22
-37.897,-26.39,251.05
-36.072,-24.512,253.12
-34.881,-28.412,252.93
-35.793,-29.351,251.9
-33.969,-27.473,253.96
-32.189,-28.923,251.02
-31.277,-27.984,252.06
-31.655,-26.632,251.16
-32.568,-27.571,250.13
-33.48,-28.51,249.09
-33.101,-29.863,249.99
-34.826,-28.254,250.05
-33.001,-26.376,252.11
-34.447,-29.607,250.94
-32.946,-26.218,249.23
-32.034,-25.279,250.26
-32.413,-23.927,249.36
-33.325,-24.866,248.33
-34.237,-25.805,247.3
-33.859,-27.157,248.2
-35.05,-23.257,248.39
-35.584,-25.549,248.25
-33.759,-23.671,250.32
-35.205,-26.902,249.15
-33.38,-25.023,251.22
-40.324,-21.919,246.43
-42.204,-23.954,247.25
-41.67,-21.663,247.38
-42.582,-22.602,246.35
-42.961,-21.249,245.45
-42.049,-20.31,246.49
-41.136,-19.371,247.52
-40.758,-20.724,248.42
-40.379,-22.076,249.31
-41.291,-23.015,248.28
-37.687,-22.588,247.41
-37.632,-22.431,244.52
-38.444,-19.883,245.61
-40.269,-21.761,243.55
-39.89,-23.114,244.44
-39.512,-24.466,245.34
-38.599,-23.527,246.37
-39.945,-23.271,247.33
-39.033,-22.332,248.36
-40.858,-24.21,246.29
-41.082,-19.214,244.63
-41.615,-21.505,244.5
-41.236,-22.858,245.4
-38.499,-20.041,248.5
-38.176,-21.551,252.28
-38.554,-20.198,251.38
-40,-23.429,250.21
-40.055,-23.586,253.1
-39.143,-22.647,254.13
-40.968,-24.525,252.06
-41.725,-21.82,250.27
-39.9,-19.942,252.33
-41.346,-23.173,251.17
-39.522,-21.295,253.23
-35.484,-22.062,250.37
-35.862,-20.71,249.47
-37.308,-23.941,248.31
-37.208,-20.454,250.43
-38.654,-23.685,249.26
-36.83,-21.807,251.33
-38.933,-18.846,250.48
-39.312,-17.493,249.59
-42.482,-19.115,248.47
-40.658,-17.237,250.54
-42.104,-20.468,249.37
-40.279,-18.59,251.44
-35.807,-20.552,246.59
-36.241,-19.357,248.58
-36.62,-18.005,247.68
-39.257,-17.335,246.7
-37.966,-17.749,248.63
-37.587,-19.101,249.53
-36.875,-25.136,246.32
-38.754,-27.171,247.14
-38.221,-24.88,247.27
-39.133,-25.819,246.24
-37.842,-26.232,248.17
-34.183,-25.647,244.41
-34.616,-24.452,246.4
-34.995,-23.1,245.5
-35.907,-24.039,244.47
-36.82,-24.978,243.44
-36.441,-26.331,244.33
-36.062,-27.683,245.23
-35.15,-26.744,246.26
-36.496,-26.488,247.22
-37.408,-27.427,246.18
-38.166,-24.722,244.39
-37.787,-26.075,245.29
-31.545,-26.317,245.39
-31.491,-26.159,242.51
-31.924,-24.964,244.49
-32.303,-23.612,243.6
-33.215,-24.551,242.56
-34.128,-25.49,241.53
-33.749,-26.842,242.43
-33.37,-28.195,243.32
-32.458,-27.256,244.36
-33.804,-27,245.31
-32.891,-26.061,246.34
-34.716,-27.939,244.28
-34.561,-24.295,243.52
-35.474,-25.234,242.48
-33.649,-23.356,244.55
-35.095,-26.586,243.38
-33.27,-24.708,245.45
-36.286,-22.686,243.57
-35.374,-21.747,244.6
-35.752,-20.395,243.71
-36.665,-21.334,242.67
-37.577,-22.273,241.64
-37.198,-23.625,242.54
-38.389,-19.725,242.73
-38.923,-22.017,242.59
-38.544,-23.37,243.49
-33.704,-23.513,247.43
-32.792,-22.574,248.47
-33.13,-21.179,247.56
-34.083,-22.161,246.54
-34.516,-20.966,248.52
-34.138,-22.318,249.42
-34.399,-20.126,246.64
-33.981,-20.313,246.18
-33.549,-19.869,246.67
-33.928,-18.517,245.77
-34.806,-19.467,246.15
-34.5,-19.105,245.13
-34.23,-19.813,245.7
-34.84,-19.456,244.74
-34.461,-20.808,245.64
-36.565,-17.847,244.79
-35.058,-18.23,245.35
-35.274,-18.261,246.73
-35.474,-18.197,246.43
-35.368,-18.666,246.7
-35.578,-18.203,246.94
-34.986,-19.628,247.67
-35.748,-26.022,256.9
-36.661,-26.961,255.87
-36.127,-24.669,256.01
-35.215,-23.73,257.04
-34.836,-25.083,257.94
-32.144,-25.594,256.03
-32.523,-24.242,255.13
-33.435,-25.181,254.1
-34.781,-24.925,255.05
-33.869,-23.986,256.09
-35.315,-27.217,254.92
-33.49,-25.339,256.98
-36.506,-23.317,255.11
-35.594,-22.378,256.14
-35.972,-21.025,255.24
-36.885,-21.964,254.21
-37.473,-24.413,256.96
-36.561,-23.474,257.99
-38.385,-25.352,255.93
-38.231,-21.708,255.16
-37.318,-20.769,256.2
-38.764,-24,255.03
-36.94,-22.122,257.09
-35.27,-23.888,259.92
-37.149,-25.923,260.74
-36.616,-23.632,260.88
-37.528,-24.571,259.84
-36.995,-22.279,259.98
-36.082,-21.34,261.01
-35.703,-22.693,261.91
-35.325,-24.045,262.81
-36.237,-24.984,261.77
-33.924,-24.144,258.97
-33.011,-23.205,260
-33.39,-21.852,259.11
-34.303,-22.791,258.07
-34.891,-25.24,260.82
-33.979,-24.301,261.85
-35.803,-26.179,259.79
-35.649,-22.535,259.03
-34.736,-21.596,260.06
-36.182,-24.827,258.89
-34.357,-22.949,260.96
-30.364,-27.045,253.09
-29.452,-26.106,254.12
-29.746,-24.665,253.27
-30.743,-25.693,252.19
-32.089,-25.437,253.15
-31.177,-24.498,254.18
-30.798,-25.85,255.08
-32.637,-18.93,247.7
-31.291,-19.186,246.75
-33.015,-17.578,246.81
-32.103,-16.639,247.84
-31.724,-17.991,248.74
-31.346,-19.344,249.64
-32.258,-20.283,248.6
-28.654,-19.855,247.73
-28.599,-19.698,244.85
-29.411,-17.15,245.93
-31.236,-19.029,243.87
-30.857,-20.381,244.76
-30.478,-21.734,245.66
-29.566,-20.795,246.7
-30.912,-20.539,247.65
-30,-19.6,248.68
-31.824,-21.478,246.62
-32.048,-16.481,244.96
-32.582,-18.773,244.82
-32.203,-20.125,245.72
-29.466,-17.308,248.82
-30.812,-17.052,249.77
-31.191,-15.7,248.87
-30.279,-14.76,249.91
-29.9,-16.113,250.8
-29.521,-17.466,251.7
-30.433,-18.405,250.67
-26.829,-17.977,249.8
-26.774,-17.82,246.91
-27.587,-15.272,248
-27.741,-18.916,248.76
-29.087,-18.661,249.72
-28.175,-17.721,250.75
-30.224,-14.603,247.02
-27.642,-15.43,250.88
-28.853,-26.829,243.49
-30.144,-26.415,241.55
-29.232,-25.476,242.59
-29.611,-24.124,241.69
-30.523,-25.063,240.66
-31.436,-26.002,239.62
-31.057,-27.354,240.52
-30.678,-28.707,241.42
-29.766,-27.768,242.45
-31.112,-27.512,243.41
-30.199,-26.573,244.44
-32.024,-28.451,242.37
-31.869,-24.807,241.61
-32.782,-25.746,240.58
-30.957,-23.868,242.64
-32.403,-27.098,241.47
-30.578,-25.22,243.54
-25.259,-23.23,250.5
-27.139,-25.266,251.32
-26.605,-22.974,251.46
-27.517,-23.913,250.42
-27.896,-22.561,249.53
-26.984,-21.621,250.56
-26.072,-20.682,251.59
-25.693,-22.035,252.49
-25.314,-23.387,253.39
-26.226,-24.327,252.35
-22.622,-23.899,251.48
-22.567,-23.742,248.6
-23.38,-21.194,249.69
