P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
27.5,6.25,13,18,0.85451,1.0784,7.271,4.1822,12.27
27.5,6.5,9,10,0.84541,1.4225,8.1334,5.9051,17.451
27.5,6.5,9,11,0.84981,1.4074,8.0854,5.6572,17.55
27.5,6.5,9,12,0.85296,1.3952,8.0465,5.512,17.542
27.5,6.5,9,13,0.85471,1.387,8.0138,5.3877,17.546
27.5,6.5,9,14,0.85527,1.1793,7.5558,4.7155,13.076
27.5,6.5,10,11,0.85053,1.4074,8.0574,5.7137,17.611
27.5,6.5,10,12,0.85316,1.3958,8.0296,5.5407,17.619
27.5,6.5,10,13,0.85468,1.3877,8.0063,5.4069,17.579
27.5,6.5,10,14,0.85527,1.1796,7.557,4.7159,13.078
27.5,6.5,10,15,0.85449,1.0796,7.2878,4.2827,12.102
27.5,6.5,11,12,0.85348,1.3948,8.0144,5.5209,17.704
27.5,6.5,11,13,0.85469,1.3876,7.9979,5.3913,17.63
27.5,6.5,11,14,0.85534,1.1718,7.5373,4.6775,12.966
27.5,6.5,11,15,0.85446,1.086,7.3074,4.3221,12.144
27.5,6.5,11,16,0.85341,1.0436,7.169,4.1012,11.849
27.5,6.5,12,13,0.85468,1.387,7.9896,5.3415,17.71
27.5,6.5,12,14,0.85536,1.1447,7.4695,4.5596,12.661
27.5,6.5,12,15,0.85441,1.0823,7.2965,4.3033,12.115
27.5,6.5,12,16,0.85366,1.0554,7.2095,4.1634,11.917
27.5,6.5,12,17,0.8531,1.0409,7.1572,4.0899,11.82
27.5,6.5,13,14,0.85375,1.0573,7.2156,4.1754,11.926
27.5,6.5,13,15,0.85375,1.0573,7.2156,4.1754,11.926
27.5,6.5,13,16,0.85375,1.0573,7.2156,4.1754,11.926
27.5,6.5,13,17,0.85375,1.0573,7.2156,4.1754,11.926
27.5,6.5,13,18,0.85375,1.0573,7.2156,4.1754,11.926
27.5,6.75,9,10,0.84362,1.4465,8.2006,6.0006,17.823
27.5,6.75,9,11,0.84802,1.4318,8.1494,5.7747,17.965
27.5,6.75,9,12,0.85109,1.4202,8.1076,5.6529,18.033
27.5,6.75,9,13,0.85269,1.4128,8.0725,5.5507,18.067
27.5,6.75,9,14,0.85388,1.1881,7.5816,4.8583,12.956
27.5,6.75,10,11,0.84849,1.4335,8.1179,5.8791,18.082
27.5,6.75,10,12,0.85109,1.422,8.0876,5.7154,18.131
27.5,6.75,10,13,0.85252,1.4143,8.0622,5.5926,18.144
27.5,6.75,10,14,0.85391,1.1852,7.5726,4.8476,12.904
27.5,6.75,10,15,0.8536,1.077,7.2791,4.391,11.873
27.5,6.75,11,12,0.8512,1.4222,8.0702,5.7222,18.268
27.5,6.75,11,13,0.85236,1.415,8.0518,5.5922,18.256
27.5,6.75,11,14,0.85404,1.173,7.5408,4.7901,12.749
27.5,6.75,11,15,0.85359,1.0789,7.2855,4.4027,11.883
27.5,6.75,11,16,0.85272,1.034,7.132,4.1243,11.585
27.5,6.75,12,13,0.85217,1.4152,8.0421,5.5567,18.376
27.5,6.75,12,14,0.85419,1.1385,7.4534,4.6459,12.372
27.5,6.75,12,15,0.85352,1.0699,7.2574,4.3423,11.829
27.5,6.75,12,16,0.85285,1.0414,7.159,4.1762,11.62
27.5,6.75,12,17,0.85231,1.0263,7.0998,4.0789,11.527
27.5,6.75,13,14,0.85277,1.0382,7.1469,4.1588,11.6
27.5,6.75,13,15,0.85277,1.0382,7.1469,4.1588,11.6
27.5,6.75,13,16,0.85277,1.0382,7.1469,4.1588,11.6
27.5,6.75,13,17,0.85277,1.0382,7.1469,4.1588,11.6
27.5,6.75,13,18,0.85277,1.0382,7.1469,4.1588,11.6
27.5,7,9,10,0.84172,1.4702,8.2603,6.0957,18.181
27.5,7,9,11,0.84608,1.456,8.2058,5.8866,18.396
27.5,7,9,12,0.84904,1.445,8.1614,5.7772,18.498
27.5,7,9,13,0.85047,1.4385,8.1241,5.6963,18.596
27.5,7,9,14,0.85223,1.1979,7.6015,4.9815,12.951
27.5,7,10,11,0.84624,1.4595,8.1712,6.0237,18.59
27.5,7,10,12,0.8488,1.4484,8.1383,5.8749,18.676
27.5,7,10,13,0.8501,1.4412,8.1108,5.7609,18.737
27.5,7,10,14,0.85227,1.1919,7.5822,4.9701,12.866
27.5,7,10,15,0.85244,1.0761,7.2648,4.4734,11.643
