cond1,cond2,cond3,cond4,runWeight
0.0034,0.0003965,0.0019396,0.00158,0.10336
0.0034,0.0003965,0.0055104,0.00158,0.076442
0.00174,0.0003965,0.0012,0.0008,0.11961
0.00174,0.0003965,0.0012,0.00236,0.082035
0.00174,0.0003965,0.00625,0.0008,0.077396
0.00174,0.0003965,0.00625,0.00236,0.047834
0.00257,0.0003965,0.0012,0.0008,0.13066
0.00257,0.0003965,0.0012,0.00236,0.093015
0.00257,0.0003965,0.00625,0.0008,0.08632
0.00257,0.0003965,0.00625,0.00236,0.056236
0.0034,0.0003965,0.0012,0.0008,0.13821
0.0034,0.0003965,0.0012,0.00236,0.10078
0.0034,0.0003965,0.00625,0.0008,0.093825
0.0034,0.0003965,0.00625,0.00236,0.063363
0.00174,0.0003965,0.003725,0.0010285,0.081229
0.00174,0.0003965,0.003725,0.0021315,0.060463
0.00257,0.0003965,0.003725,0.0010285,0.091813
0.00257,0.0003965,0.003725,0.0021315,0.070621
0.0034,0.0003965,0.003725,0.0010285,0.10018
0.0034,0.0003965,0.003725,0.0021315,0.078727
0.00257,0.00020849,0.003725,0.00158,0.065359
0.00257,0.00031862,0.003725,0.00158,0.073429
0.00257,0.00047438,0.003725,0.00158,0.083461
0.00257,0.00058451,0.003725,0.00158,0.089744
0.00257,0.0002526,0.0012,0.00158,0.095708
0.00257,0.0002526,0.00625,0.00158,0.056069
0.00257,0.0005404,0.0012,0.00158,0.11449
0.00257,0.0005404,0.00625,0.00158,0.07441
0.00257,0.0002526,0.003725,0.0008,0.086355
0.00257,0.0002526,0.003725,0.00236,0.060472
0.00257,0.0005404,0.003725,0.0008,0.11159
0.00257,0.0005404,0.003725,0.00236,0.075053
0.00257,0.000193,0.0019396,0.00158,0.080438
0.00257,0.000193,0.0055104,0.00158,0.054519
0.00257,0.0006,0.0019396,0.00158,0.10709
0.00257,0.0006,0.0055104,0.00158,0.080686
0.00257,0.000193,0.0012,0.0008,0.10958
0.00257,0.000193,0.0012,0.00236,0.081827
0.00257,0.000193,0.00625,0.0008,0.065613
0.00257,0.000193,0.00625,0.00236,0.045368
0.00257,0.0006,0.0012,0.0008,0.14591
0.00257,0.0006,0.0012,0.00236,0.10276
0.00257,0.0006,0.00625,0.0008,0.10137
0.00257,0.0006,0.00625,0.00236,0.065716
0.00257,0.000193,0.003725,0.0010285,0.073242
0.00257,0.000193,0.003725,0.0021315,0.05876
0.00257,0.0006,0.003725,0.0010285,0.10603
0.00257,0.0006,0.003725,0.0021315,0.080838
0.00257,0.0003965,0.0013922,0.00158,0.10262
0.00257,0.0003965,0.0027587,0.00158,0.086305
0.00257,0.0003965,0.0046913,0.00158,0.072802
0.00257,0.0003965,0.0060578,0.00158,0.066592
0.00257,0.0003965,0.0019396,0.0008,0.11865
0.00257,0.0003965,0.0019396,0.00236,0.083244
0.00257,0.0003965,0.0055104,0.0008,0.089607
0.00257,0.0003965,0.0055104,0.00236,0.05903
0.00257,0.0003965,0.0012,0.0010285,0.121
0.00257,0.0003965,0.0012,0.0021315,0.096105
0.00257,0.0003965,0.00625,0.0010285,0.078193
0.00257,0.0003965,0.00625,0.0021315,0.058508
0.00257,0.0003965,0.003725,0.00085937,0.097887
0.00257,0.0003965,0.003725,0.0012815,0.084811
0.00257,0.0003965,0.003725,0.0018785,0.073883
0.00257,0.0003965,0.003725,0.0023006,0.068732
