_il,_it,_el,_et,median,meanPt,stdPt,min,max, tsneDist
0.00174,0.0003965,0.00625,0.00236,-0.53825,-0.060662,1.4244,-2.1265,5.8535,5.8535,9.9801
0.00257,0.0003965,0.0012,0.0008,-1.1428,0.040615,3.8715,-8.7417,17.053,17.053,8.5576
0.00257,0.0003965,0.0012,0.00236,-0.62129,0.048105,2.8456,-10.78,13.235,13.235,5.6377
0.00257,0.0003965,0.00625,0.0008,-1.0227,-0.032416,2.6613,-1.3363,10.205,10.205,7.0895
0.00257,0.0003965,0.00625,0.00236,-0.47146,0.040155,1.6663,-3.6778,7.3471,7.3471,8.7227
0.0034,0.0003965,0.0012,0.0008,-1.0666,0.144,4.0984,-10.098,18.462,18.462,9.0558
0.0034,0.0003965,0.0012,0.00236,-0.55279,0.15493,3.0973,-12.257,14.725,14.725,6.8854
0.0034,0.0003965,0.00625,0.0008,-1.0714,-0.038048,2.8468,-1.5571,10.955,10.955,6.8567
0.0034,0.0003965,0.00625,0.00236,-0.50652,0.033846,1.8816,-5.0813,8.5351,8.5351,6.6526
0.00174,0.0003965,0.003725,0.0010285,-0.91056,-0.032797,2.4525,-1.8003,9.5864,9.5864,5.9933
0.00174,0.0003965,0.003725,0.0021315,-0.55653,2.4029e-05,1.7915,-3.8831,7.7752,7.7752,7.4767
0.00257,0.0003965,0.003725,0.0010285,-0.92068,-0.0028176,2.7364,-3.8373,11.366,11.366,5.0162
0.00257,0.0003965,0.003725,0.0021315,-0.57041,0.028749,2.0992,-5.8586,9.4893,9.4893,4.0255
0.0034,0.0003965,0.003725,0.0010285,-0.92759,0.0214,2.973,-5.4313,12.795,12.795,5.6567
0.0034,0.0003965,0.003725,0.0021315,-0.57989,0.0527,2.3526,-7.4316,10.875,10.875,2.8564
0.00257,0.00020849,0.003725,0.00158,-0.44727,0.049381,1.9664,-6.8487,9.2694,9.2694,6.1085
0.00257,0.00031862,0.003725,0.00158,-0.60079,0.028183,2.1801,-5.8458,9.855,9.855,3.0552
0.00257,0.00047438,0.003725,0.00158,-0.79017,0.003362,2.4755,-4.6254,10.598,10.598,2.081
0.00257,0.00058451,0.003725,0.00158,-0.90767,-0.011379,2.6725,-3.8781,11.083,11.083,4.4464
0.00257,0.0002526,0.0012,0.00158,-0.57294,0.10178,2.9335,-11.673,14.005,14.005,6.2835
0.00257,0.0002526,0.00625,0.00158,-0.51169,-0.015952,1.6623,-3.9775,7.3897,7.3897,8.7365
