_il,_it,_el,_et,min,max,std,Mean,Med,pca1,pca2
0.00257,0.0003965,0.003725,0.0021315,-4.845,7.849,0.8736,0.020382,-0.096868,0.072256,-0.028568
0.0034,0.0003965,0.003725,0.0010285,-6.4728,11.22,1.2868,0.038759,-0.15252,0.10638,0.039169
0.0034,0.0003965,0.003725,0.0021315,-5.7904,9.3373,1.0351,0.025131,-0.10886,0.085556,-0.059758
0.00257,0.00020849,0.003725,0.00158,-5.1858,8.3692,0.92994,0.024452,-0.092024,0.076782,-0.068351
0.00257,0.00031862,0.003725,0.00158,-5.1492,8.4833,0.95399,0.02464,-0.10575,0.078914,-0.02325
0.00257,0.00047438,0.003725,0.00158,-5.1386,8.684,0.98818,0.025101,-0.11942,0.081732,0.033617
0.00257,0.00058451,0.003725,0.00158,-5.1365,8.8336,1.0121,0.025528,-0.12683,0.083599,0.069665
0.00257,0.0002526,0.0012,0.00158,-7.6662,11.674,1.2595,0.026113,-0.11777,0.10372,-0.15599
0.00257,0.0002526,0.00625,0.00158,-3.9204,6.6594,0.75784,0.02245,-0.0851,0.062653,-0.0020083
0.00257,0.0005404,0.0012,0.00158,-7.4563,11.958,1.3155,0.028251,-0.14709,0.10872,-0.040998
0.00257,0.0005404,0.00625,0.00158,-3.9161,7.0338,0.82076,0.022502,-0.10871,0.067621,0.097581
0.00257,0.0002526,0.003725,0.0008,-5.6692,9.9032,1.1395,0.036476,-0.13377,0.094144,0.034492
0.00257,0.0002526,0.003725,0.00236,-4.7843,7.4251,0.81072,0.018094,-0.078555,0.06687,-0.082578
0.00257,0.0005404,0.003725,0.0008,-5.6498,10.294,1.205,0.034305,-0.16301,0.099099,0.17099
0.00257,0.0005404,0.003725,0.00236,-4.7442,7.7553,0.86893,0.019853,-0.10124,0.071861,0.0017617
0.00257,0.000193,0.0019396,0.00158,-6.768,10.401,1.13,0.025526,-0.10173,0.093049,-0.14098
0.00257,0.000193,0.0055104,0.00158,-4.2261,7.0169,0.78979,0.023142,-0.080748,0.065229,-0.037006
0.00257,0.0006,0.0019396,0.00158,-6.5815,10.83,1.214,0.027868,-0.1433,0.10037,0.017167
0.00257,0.0006,0.0055104,0.00158,-4.2116,7.5402,0.87884,0.023468,-0.11624,0.072387,0.10646
0.00257,0.000193,0.0012,0.0008,-8.7781,14.278,1.587,0.043497,-0.15506,0.13101,-0.11605
0.00257,0.000193,0.0012,0.00236,-6.8802,9.9603,1.0436,0.017605,-0.083942,0.08538,-0.19752
0.00257,0.000193,0.00625,0.0008,-4.223,7.5779,0.88119,0.032339,-0.10381,0.072646,0.04279
0.00257,0.000193,0.00625,0.00236,-3.69,5.9053,0.65457,0.017108,-0.063077,0.054016,-0.054934
0.00257,0.0006,0.0012,0.0008,-8.4416,14.488,1.6467,0.041741,-0.20353,0.13606,0.097527
0.00257,0.0006,0.0012,0.00236,-6.6931,10.397,1.1233,0.021625,-0.12132,0.092634,-0.068587
0.00257,0.0006,0.00625,0.0008,-4.3482,8.2777,0.98036,0.028361,-0.14467,0.079798,0.22644
0.00257,0.0006,0.00625,0.00236,-3.6885,6.3783,0.73434,0.018613,-0.092918,0.060626,0.05879
0.00257,0.000193,0.003725,0.0010285,-5.5393,9.3374,1.0562,0.03257,-0.11066,0.087241,-0.031951
0.00257,0.000193,0.003725,0.0021315,-4.9195,7.6156,0.83148,0.019412,-0.076002,0.068509,-0.096522
0.00257,0.0006,0.003725,0.0010285,-5.4677,9.8488,1.1482,0.031257,-0.15278,0.094524,0.14782
0.00257,0.0006,0.003725,0.0021315,-4.8583,8.0957,0.9156,0.021637,-0.11031,0.075689,0.030581
0.00257,0.0003965,0.0013922,0.00158,-7.2716,11.478,1.2552,0.027092,-0.13307,0.10369,-0.083295
0.00257,0.0003965,0.0027587,0.00158,-5.8435,9.557,1.0692,0.025881,-0.12029,0.088453,-0.022221
0.00257,0.0003965,0.0046913,0.00158,-4.5896,7.8042,0.89128,0.023956,-0.10697,0.073723,0.02702
0.00257,0.0003965,0.0060578,0.00158,-3.9799,6.9359,0.80039,0.022633,-0.099572,0.066147,0.048267
0.00257,0.0003965,0.0019396,0.0008,-7.4278,12.73,1.4511,0.039862,-0.17448,0.12002,0.048794
0.00257,0.0003965,0.0019396,0.00236,-6.0181,9.2228,0.99619,0.019624,-0.10152,0.08215,-0.094177
0.00257,0.0003965,0.0055104,0.0008,-4.5735,8.4233,0.98958,0.031105,-0.13498,0.081368,0.13846
0.00257,0.0003965,0.0055104,0.00236,-3.9298,6.4799,0.73065,0.018205,-0.083677,0.060454,-0.0047512
0.00257,0.0003965,0.0012,0.0010285,-8.2212,13.452,1.5,0.036454,-0.16756,0.12408,-0.036979
0.00257,0.0003965,0.0012,0.0021315,-6.9844,10.585,1.1354,0.021499,-0.1136,0.093531,-0.12211
0.00257,0.0003965,0.00625,0.0010285,-4.1212,7.5286,0.88202,0.02721,-0.11817,0.072623,0.10903
0.00257,0.0003965,0.00625,0.0021315,-3.7388,6.3073,0.71889,0.019016,-0.085391,0.059472,0.015895
0.00257,0.0003965,0.003725,0.00085937,-5.5684,9.9298,1.153,0.034123,-0.14753,0.095183,0.097126
0.00257,0.0003965,0.003725,0.0012815,-5.316,9.0748,1.0367,0.028158,-0.12481,0.085748,0.034778
0.00257,0.0003965,0.003725,0.0018785,-4.9775,8.1587,0.91516,0.022356,-0.10351,0.075714,-0.014902
0.00257,0.0003965,0.003725,0.0023006,-4.76,7.6573,0.84832,0.019417,-0.092759,0.070145,-0.036101
