_il,_it,_el,_et,meanPt,stdPt,PCA_2,PCA_1,fBD_2,fBD_12,fBD_22,fBD_32,fBD_42,fBD_52,fBD_62
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,-0.16708,0.10078,0.24365,0.70813,0.79502,0.82871,0.87328,0.89076,0.90907
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,0.12546,0.093825,0.29411,0.87648,0.95406,0.98088,0.99625,0.99975,0.99997
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,-0.024648,0.063363,0.36539,0.95301,0.98127,0.99996,0.99997,0.99997,0.99997
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,0.09651,0.081229,0.33178,0.9244,0.99206,0.99695,0.99963,0.99997,0.99997
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,0.0010575,0.060463,0.37329,0.94496,0.99641,0.99947,0.99992,0.99995,0.99997
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,0.060358,0.091813,0.36509,0.9613,0.99987,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,-0.034565,0.070621,0.40129,0.98923,0.9999,0.99997,0.99997,0.99997,0.99997
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,0.032339,0.10018,0.38094,0.94755,0.99203,0.99702,0.99994,0.99996,0.99996
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,-0.062375,0.078727,0.42129,0.97562,0.99993,0.99997,0.99997,0.99997,0.99997
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,-0.068754,0.065359,0.30907,0.91105,0.9972,0.98891,0.9996,0.99994,0.99994
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,-0.027393,0.073429,0.47289,0.99817,0.99996,0.99996,0.99997,0.99997,0.99997
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,0.023405,0.083461,0.51394,0.99988,0.99997,0.99997,0.99997,0.99997,0.99997
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,0.054826,0.089744,0.41399,0.97673,0.99959,0.99997,0.99997,0.99997,0.99997
